,text
Ses04F_impro04_F024,Buck-O. That's really helpful. Just keep chugging along. The little engine that could.
Ses04F_impro04_F025,Well you- just you're doing something wrong.
Ses04F_impro04_M025,"Look if I could give you a job,if I could give you a job I would but I mean I'm not in that position. I'm-"
Ses04F_impro04_F026,Well maybe you could help. I mean you've got a job. I'm willing to look outside of my realm. I could try something else.
Ses04F_impro04_M026,"Hey, I'd love to help you but I- you don't have the kind of training that I-"
Ses04F_impro04_F027,I'll get it. I just need a job. I don't care what it is.
Ses04F_impro04_M027,"So, go to McDonalds."
Ses04F_impro04_F028,Well I mean I need to make a little bit more than the minimum wage fry flipper.
Ses04F_impro04_M028,Well you've got to start somewhere. I mean-
Ses04F_impro04_F029,I did start somewhere. I worked my way up. I'm not going to start at the bottom again.
Ses04F_impro04_M029,Well you're going to have to. You don't really have an option. What's your problem?
Ses04F_impro04_F030,What's my problem? What's my problem? I don't have a job.
Ses04F_impro04_M030,I don't know it's like I'm trying to be-
Ses04F_impro04_F031,I thought I was pretty clear about what the problem was.
Ses04F_impro04_M031,I'm trying to be helpful.
Ses04F_impro04_F032,Well maybe you could be a little helpful. I mean obviously you don't have any problems so would it really take so much time out of your day to just go ahead and help somebody else.
Ses04F_impro04_M033,I'm trying to watch TV.
Ses04F_impro04_F033,That's important. That's really important.
Ses04F_impro05_M000,Welcome to Northwest Airlines. How can I help you?
Ses04F_impro05_F000,You guys lost my bag.
Ses04F_impro05_M001,Did you file a complaint already?
Ses04F_impro05_F001,Yeah. Yeah I did.
Ses04F_impro05_M002,Where? Did you do it at the front desk or by the baggage claims?
Ses04F_impro05_F002,"I-I don't know. The place where they told me to go. Look they told me to come talk to you because you guys lost my bag. Not it's late. Not it will be here soon, lost it completely. What are you going to do about that?"
Ses04F_impro05_M003,"Ma'am, first of all I'd like you to calm down. Second of all-"
Ses04F_impro05_F003,Look that bag has my entire life in it and you just lost it.
Ses04F_impro05_F004,"Lost it just, like, I mean,"
Ses04F_impro05_M005,"Ma'am, I understand that."
Ses04F_impro05_F005,it's not like it just disappeared into thin air. Somebody wasn't paying attention
Ses04F_impro05_F006,"because my bag was very easy to keep track of. It's got big, you know, rainbow colored crap all over it and no one was paying attention because now it's just gone."
Ses04F_impro05_M006,"I understand that. The best I can do for you, at this moment, is give you fifty dollar check courtesy of Northwest Airlines for inconveniencing you in losing your luggage."
Ses04F_impro05_M007,"At this moment in time, all I can do for you is give you-"
Ses04F_impro05_F008,No. No. I heard- I heard what you said.
Ses04F_impro05_F009,"You're kidding me, right. You're going to give me fifty dollars to completely cover my bag, everything that was in it, the inconvenience that I've gone through. I paid for my ticket. All I expect is to safely get to my destination with my stuff. Is that so much to ask? I mean I really don't think that's that big a deal to ask you guys to have my bag in the place where I leave and then put my bag where I end up."
Ses04F_impro05_M008,you're getting very excited right now
Ses04F_impro05_F010,"Yeah, well that's got everything I have in it."
Ses04F_impro05_M009,"I understand that, ma'am but there's not really much I can do for you right now."
Ses04F_impro05_F011,Look fifty dollars is unacceptable. My bag itself cost over a hundred and fifty dollars. You can't just give me fifty dollar gift certificate to Percoes or whatever the hell and then send me off like that's- that's good enough. Like that's all I needed was fifty dollars. My bag is worth more than that.
Ses04F_impro05_M010,What I need you to do is file another complaint form. There's a form that you can fill out over by the front desk near the baggage claim.
Ses04F_impro05_M011,If you'd like to take that over to the front desk- Ma'am.
Ses04F_impro05_M012,We're just talking over each other.
Ses04F_impro05_M013,We're not going to communicate anything this way.
Ses04F_impro05_F012,I expect your airline who was responsible for my bag to give me the equivalent of the bag and all of the things in it.
Ses04F_impro05_M014,Ma'am in flying with Northwest Airlines you agreed to
Ses04F_impro05_M015,sign away your luggage to the
Ses04F_impro05_F013,I didn't sign anything. I didn't sign anything. And you people have got to make-
Ses04F_impro05_M016,"It's part of the small- it's part of the agreement when you're purchasing an airline ticket, there's- when you-"
Ses04F_impro05_F014,You have to make amends for what you did for losing my bag and all of my stuff. Fifty dollars is unacceptable.
Ses04F_impro05_M017,"Ma'am, please calm down. When you purchase a ticket, there is a terms and agreement,"
Ses04F_impro05_F015,No. No. I don't know. You know what? I'm going to call my lawyer. You know what? That's what I'm going to do. I'm going to call my lawyer and have him get down here and explain to you that this is an unacceptable option.
Ses04F_impro05_M018,terms and conditions- in the agreement of purchasing a ticket. Most people frequently look it over
Ses04F_impro05_M019,The best that we can do for you is give you-
Ses04F_impro05_M020,Ma'am.
Ses04F_impro05_F016,I want to talk to your supervisor.
Ses04F_impro05_M021,I am- I am- I am my own supervisor.
Ses04F_impro05_F017,"I've had enough. I want to talk to-no, no unacceptable I want to your supervisor. I am done with this."
Ses04F_impro05_M022,"I am the supervisor, ma'am."
Ses04F_impro05_F018,"Really, you don't work for anybody. It's just you?"
Ses04F_impro05_M023,I am the current manager on duty.
Ses04F_impro05_F019,"Okay. Well I want to call whoever you report to, whoever your boss is because I have had enough with this airline and I am finished waiting for my fifty dollar gift certificate."
Ses04F_impro05_M024,"Ma'am, I own Northwest Airlines."
Ses04F_impro06_M000,"Hey, I'm, uh. I'm really sorry about what happened. I don't um- I mean what you can you do? I mean it's-"
Ses04F_impro06_F000,Thanks.
Ses04F_impro06_M001,"When I was seven, my- my grandmother died and I really- I don't know, I mean it was really hard to let go but the important thing is- is that you do let go and your realize that, you know, they- you know, they- this person had fun while they were- while they were here and, uh, you know, you work- you work through it."
Ses04F_impro06_F001,"You know it's just, I just, you know, I mean it just happened. I just, like- I just keep expecting him to walk in, you know."
Ses04F_impro06_M002,Mmhmm. Yeah. Yeah. I mean it's- it's hard. It's hard.
Ses04F_impro06_F002,"I just- I just thought he would have longer, you know, because I'm- I mean when he found out he was sick, we knew that wasn't good but I just- I just thought that it would take longer, you know?"
Ses04F_impro06_M003,Yeah.
Ses04F_impro06_M004,"Well I mean, you know, I mean it was I mean with that kind of condition,"
Ses04F_impro06_F003,Yeah. I know. I know.
Ses04F_impro06_M005,"you know, it's inevitable and I mean honestly it's- it's almost like"
Ses04F_impro06_M006,"you know, you don't- you know, how long do you want the person to go through that, you know."
Ses04F_impro06_M007,It's sort of- it's almost better off to rest in peace than he is to live in pain.
Ses04F_impro06_F004,"Yeah, I know. But I'd rather have him here with me, you know. It's just not fair. I mean he- he didn't get to do like anything. I mean he was-"
Ses04F_impro06_F005,"He was only twenty four and just so many things that we were going to do, you know, and now he won't get to do them and he won't get to be here when I do. You know, like I'll get married some day and he won't be there, like, he won't get to see that."
Ses04F_impro06_M008,Yeah.
Ses04F_impro06_F006,It just doesn't seem fair.
Ses04F_impro06_M009,"It's not fair but I mean that's, you know, the course of life is that, you know, you meet people and you lose them."
Ses04F_impro06_M010,You're okay
Ses04F_impro06_F007,Thank you for being here.
Ses04F_impro06_M011,You know I think- I think we should celebrate because I think that's what he would have wanted.
Ses04F_impro06_F008,[LAUGHTER] You're probably right. He probably would be pissed if we were all sitting around being upset about it. He'd want us to have a party.
Ses04F_impro06_M012,Yeah.
Ses04F_impro06_F009,And to drink in his honor. [LAUGHTER]
Ses04F_impro06_M013,"That's right. That's right. I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can."
Ses04F_impro06_F010,"Yeah, I know."
Ses04F_impro06_M014,So-
Ses04F_impro07_M000,"Hey, what's up?"
Ses04F_impro07_F000,Guess what came today?
Ses04F_impro07_M001,What?
Ses04F_impro07_F001,My acceptance letter.
Ses04F_impro07_F002,From U.S.C..
Ses04F_impro07_F003,"Yes, I am."
Ses04F_impro07_F004,"Well yeah, that's the general idea. [LAUGHTER]"
Ses04F_impro07_M005,That's awesome. Congratulations.
Ses04F_impro07_F005,Big bad acceptance packet with all the information. I'm going to U.S.C..
Ses04F_impro07_M006,That's amazing. Wow.
Ses04F_impro07_F006,I know. [LAUGHTER]
Ses04F_impro07_F007,"[LAUGHTER] Yeah, uh. No."
Ses04F_impro07_F008,[LAUGHTER] It's safe around there.
Ses04F_impro07_F009,The campus is beautiful. I'm so excited.
Ses04F_impro07_M009,I know but you should get like a taser or something. I mean walking around the campus at night-
Ses04F_impro07_F010,"Do you want to buy me some mace for my, you know, going away present?"
Ses04F_impro07_F011,There we go. Perfect.
Ses04F_impro07_F012,And a taser. Excellent. Just make sure it's a big knife.
Ses04F_impro07_F013,I don't want any of those little puny ones.
Ses04F_impro07_M013,"So, um- so what are you going to- what are you going to major in?"
Ses04F_impro07_F014,Well I was thinking maybe underwater basket weaving.
Ses04F_impro07_F015,"U.S.C. has a major in that, right."
Ses04F_impro07_F016,They have - U.S.C. has everything because U.S.C. is the best school ever.
Ses04F_impro07_M016,they have that as a major?
Ses04F_impro07_M017,That's ridiculous. I don't believe that.
Ses04F_impro07_F017,Okay. Well I'm lying but-
Ses04F_impro07_M018,"Seriously, what's your major?"
Ses04F_impro07_F018,"Well, I haven't decided yet. I want to try some things out."
Ses04F_impro07_M019,So you're undecided?
Ses04F_impro07_M020,"Hey, that's cool."
Ses04F_impro07_M021,"No, no. It's totally cool. I mean, like, this friend of mine he was- he's been undecided now for, like, the past like eleven years of his life."
Ses04F_impro07_F021,okay. Well I'm not going to be undecided forever. [LAUGHTER]
Ses04F_impro07_M022,"Uh, well-"
Ses04F_impro07_F022,And it's so close so you can come visit me all the time.
Ses04F_impro07_M023,You- you- you'll find.
Ses04F_impro07_F024,"So this works out perfectly. Because I was worried if I didn't get in to U.S.C., then I would have to go somewhere far away and then-"
Ses04F_impro07_M026,"You'd have to, like go somewhere else, and, you know, we would be apart, and that would suck."
Ses04F_impro07_F027,Everything worked out perfectly.
Ses04F_impro07_M028,That's awesome.
Ses04F_impro07_F028,I know. We should have a party.
Ses04F_impro07_F029,An I got accepted to U.S.C. party.
Ses04F_impro07_F030,No. An I got accepted to U.S.C. party. [LAUGHTER]
Ses04F_impro07_M031,"Oh, that's right. Okay, I see. Right, right, right."
Ses04F_impro07_M032,A party celebrating your acceptance.
Ses04F_impro07_F031,Right. Now you're with me.
Ses04F_impro07_M033,That's cool.
Ses04F_impro07_F032,That is why I got accepted.
Ses04F_impro07_M034,"Well, that's really cool that you're going to be staying in the same city and everything. so umm"
Ses04F_impro07_F033,I know.
Ses04F_impro07_M035,"I don't know are you, like, I don't know. Are you, like, available or anything?"
Ses04F_impro07_M036,"Well I mean I don't know. It's like you know I kind of had a crush on you throughout high school and, like"
Ses04F_impro07_M037,"I don't know I just thought that, you know, maybe we could, you know, I don't know. It's like, you know, just test the waters anyway. I don't see what the problem is."
Ses04F_impro07_F035,What- what did you have in mind?
Ses04F_impro07_M038,"Movies- movie, we'll go to a movie and a dinner and- and"
Ses04F_impro07_M039,"actually, you know, there's this- there's this really cool restaurant, um, I don't know if you- it's Red Lobster. It's like down on"
Ses04F_impro07_F036,[LAUGHTER]
Ses04F_impro07_M040,Vermont.
Ses04F_impro07_M041,"Wait, you've been there before?"
Ses04F_impro07_F038,On occasion I've heard of it.
Ses04F_impro07_M042,"Oh, so well then you know that it's awesome."
Ses04F_impro07_F039,Yeah. Totally.
Ses04F_impro07_M043,"Right, so we'll go there and then- and then we'll get some ice cream and maybe we'll go putt-putt golfing."
Ses04F_impro07_F040,I am totally down with the ice cream.
Ses04F_impro07_M044,Okay. Putt-putt golfing?
Ses04F_impro07_F041,"Eh, we can work that part out."
Ses04F_impro07_M045,"Yeah, you want to go. No, you want to go. You want to go."
Ses04F_impro07_F042,Alright.
Ses04F_impro07_M046,I can see it in your eyes. You want to go.
Ses04F_impro07_F044,party.
Ses04F_impro07_M049,Good. Alright we're so happy.
Ses04F_impro07_M050,"That's right. Um, so U.S.C. is a really nice school."
Ses04F_impro07_F047,I know.
Ses04F_impro07_M051,Are you going to take out loans or-
Ses04F_impro07_F048,Okay well that's not a happy part. We don't want to talk about that.
Ses04F_impro07_F049,"Well no. I mean I have some scholarships and some financial aid and stuff but I'll have to, you know, I'll get a job"
Ses04F_impro07_F050,while I'm in school. It'll be good.
Ses04F_impro07_F051,Yeah. It will work out. Maybe I could work at Red Lobster.
Ses04F_impro07_F052,I know. Right down the street.
Ses04F_impro07_M057,"But, um-"
Ses04F_impro07_M058,"I mean, like, I don't know. I'm just saying if you need to make some extra cash. You can, you know"
Ses04F_impro07_M059,Or library.
Ses04F_impro07_M060,I just said the library
Ses04F_impro07_M061,"or, um, campus cruiser. You can drive people around."
Ses04F_impro07_F058,Excellent. Drive drunk people around because you know that's all campus cruisers for.
Ses04F_impro07_M062,Right or you can run for student counsel.
Ses04F_impro07_F059,"Okay. No, that's dorky."
Ses04F_impro07_M063,Dorky?
Ses04F_impro07_F060,Yeah.
Ses04F_impro07_M064,It's important.
Ses04F_impro07_F061,Student counsel?
Ses04F_impro07_F062,"No, it's dorky."
Ses04F_impro07_M066,Fine. It's dorky.
Ses04F_impro07_F063,Social life. Hello.
Ses04F_impro07_M067,But that'll fit you because you're a dork.
Ses04F_impro07_F064,[LAUGHTER].
Ses04F_impro07_F065,[LAUGHTER].
Ses04F_impro07_M070,I dork.
Ses04F_impro07_F066,"No. But I'm thinking I might, you know, like audition for a play or something. I don't really want to do the sorority thing. I'm not really feeling that vibe with the"
Ses04F_impro07_M071,"Yeah, you don't want to do the sorority thing because you'll probably get used and abused by"
Ses04F_impro07_M072,lots of drunk frat boys
Ses04F_impro07_M073,Yeah.
Ses04F_impro07_F070,What have you heard about the Greek system?
Ses04F_impro07_M076,"I mean it's not really free because you have to pay for it, but yeah."
Ses04F_impro07_M077,Well do you think you're going to live on campus or off campus your first year?
Ses04F_impro07_M079,"I hate to break this to you but you meet people by being cool, so-"
Ses04F_impro07_F074,"Oh, oh, I'm sorry, my bad. I'll have to, like, sign up for summer lessons from you before I go. You can teach me how to be cool before I go to college."
Ses04F_impro07_M080,"No, no, no. You're right though. I mean, you know, dorms are definitely the way to meet people. I know that I was in an apartment off campus"
Ses04F_impro07_M082,"that happened, you know, that was going on."
Ses04F_impro07_F078,That's what you're saying. I'm right. [LAUGHTER]
Ses04F_impro07_F079,me.
Ses04F_impro08_F000,Hello. Thank you for calling Dell Taco Corporate. Can I help you?
Ses04F_impro08_M000,"Yeah, um. I have been trying to reach somebody who will refund, uh, my money."
Ses04F_impro08_M001,"Um, I basically, um I- I ordered some food"
Ses04F_impro08_M002,um and everything was pretty much uh- uh- just not done right. All the orders were messed up.
Ses04F_impro08_F001,"Okay. Well, Did you go through the automated menu? Most of your requests can be taken care of through that."
Ses04F_impro08_M003,"Yes, I did and that didn't- I got through to, like, one operator and she sent me to like three others"
Ses04F_impro08_F002,Okay. Well I'd be happy to-
Ses04F_impro08_M005,"If you could just give me that, then I will leave you alone. And just- if i could also- What?"
Ses04F_impro08_F003,"Okay, sir. I'd be happy to help you."
Ses04F_impro08_F004,"Sir, can- can you tell me which branch you went to. We can start there."
Ses04F_impro08_F005,"Okay. Um, and what was the complaint?"
Ses04F_impro08_M007,The food was prepared incorrectly.
Ses04F_impro08_M008,I asked for no tomatoes.
Ses04F_impro08_F006,"Can you be a little more specific, sir?"
Ses04F_impro08_F007,"Did you try to take them back and get your order fixed, sir?"
Ses04F_impro08_F008,"Well I'm very sorry, sir. They should have dealt with it at that particular branch. I apologize for that, uh, but we can help you. That's no worries. We can take care of that. So how much did you need to be refunded?"
Ses04F_impro08_M012,"It was a hundred a sixty dollars. I'm sorry, uh, sixteen dollars."
Ses04F_impro08_F009,"Okay. Um, I'm going to go ahead and transfer you over to another department. They'll need your address."
Ses04F_impro08_M013,"Look, I don't want to be transferred over to another- All I want to do is just give you my name and address so you can send me a check."
Ses04F_impro08_M014,"Okay. You understand that's all I want. Just don't give me a problem with this. Okay, please because I'm very sensitive right now"
Ses04F_impro08_M015,"and if I get sent to another operator, I'll have to tell them the same damn story again. I don't- I think I'm just going to lose my mind. So if you could please just not do that, that would be great. Thank you."
Ses04F_impro08_F010,"I understand, sir. I will explain to them what the situa-"
Ses04F_impro08_M016,You don't understand because you've never gone to Del Taco and gotten the service that I've gotten. You don't understand.
Ses04F_impro08_M017,You're not going to call the other operator. You're not going to call the the other operator.
Ses04F_impro08_M018,You're going to fill out a form on your desk
Ses04F_impro08_M019,because I know you're at a desk right now in your stupid corporate building and you're going to send me a check for sixteen dollars and forty two cents.
Ses04F_impro08_F012,"Okay, sir. They- they have to-"
Ses04F_impro08_F013,Sir.
Ses04F_impro08_F014,"Sir, they have to take down your address at the other station. I will transfer. I will explain everything to them. It will all be fine. I promise."
Ses04F_impro08_M020,What's your name?
Ses04F_impro08_F015,Cindy?
Ses04F_impro08_M022,Cindy? Cindy what?
Ses04F_impro08_F017,"Sir, I don't think my name is really relevant-"
Ses04F_impro08_M023,"Cindy, look. If you don't get your ass a piece of paper that has a check"
Ses04F_impro08_M024,"attached to it and you don't send it to me, I'm going to get very upset."
Ses04F_impro08_F018,"Alright, sir. Sir. I'm going to transfer you to the address."
Ses04F_impro08_F019,"Alright. You know what, sir. The customer is always right."
Ses04F_impro08_M025,"You know what. I- You know what? You know what? No, it's fine. it's fine it's fine You know what?"
Ses04F_impro08_F020,I will go ahead and I will take- I will take
Ses04F_impro08_M026,"Hey, Cindy. Cindy, look I know this is not your fault. Do whatever you want."
Ses04F_impro08_M027,Send me to whatever operator. I just- You know what? I'm just done. I'm just done. I've lost all hope.
Ses04F_impro08_M028,"of getting my sixteen dollars back. It fine, no honestly."
Ses04F_impro08_M029,"No, Cindy just don't even-look don't even. Cuz I- look Cindy I know you don't care about me, okay. I know that I'm just like another person who calls-"
Ses04F_impro08_F023,But I'm giving you what you want.
Ses04F_impro08_M030,No it doesn't matter. It's fine. It's fine. Just send me to the next operator. That's fine.
Ses04F_impro08_F024,"Okay. If that's what you want, you want to go to the next person?"
Ses04F_impro08_F025,Okay. Great.
Ses04F_script01_1_M000,He saw it.
Ses04F_script01_1_F004,Did you talk to him?
Ses04F_script01_1_M004,"No, I figured the best thing was to leave him alone."
Ses04F_script01_1_M005,I could hear him right through the floor of my room.
Ses04F_script01_1_F006,What was he doing out here at that hour? He's dreaming about him again. He's walking around at night.
Ses04F_script01_1_M007,"I don't know the meaning of this, mom. But I know one thing you made a terrible mistake with dad."
Ses04F_script01_1_M008,"Being dishonest with him, that kind of thing always pays off and now it's paying off."
Ses04F_script01_1_M009,You know that Larry's not coming back and I know it. Why do we allow him to go on thinking that we believe with him?
Ses04F_script01_1_F011,"What do you want to do, argue with him?"
Ses04F_script01_1_M010,I don't want to argue with him but it's time that he realizes that Larry's not coming back anymore.
Ses04F_script01_1_F012,You can't say that to him.
Ses04F_script01_1_M012,We've got to say it to him.
Ses04F_script01_1_F013,How are you going to prove it? Can you prove it?
Ses04F_script01_1_M013,For God's sake three years. Nobody comes back after three years. It's insane.
Ses04F_script01_1_F014,To you it is and to me but not to him. You can talk yourself blue in the face but there's no body and no grave so where are you?
Ses04F_script01_1_M014,Sit down mom. I want to talk to you.
Ses04F_script01_1_F015,The trouble is the goddamn newspapers. Every month some boy turns up from nowhere so the next one is going to be Larry.
Ses04F_script01_1_M015,"Alright, alright, alright. Listen. You know why I asked Annie here don't you?"
Ses04F_script01_1_M016,You know why.
Ses04F_script01_1_M017,I'm going to ask her to marry me.
Ses04F_script01_1_F018,"Well that's only your business, Chris."
Ses04F_script01_1_M018,You know it's not only my business.
Ses04F_script01_1_F019,What do you want me to do? You're old enough to know your own mind.
Ses04F_script01_1_M019,Then it's alright. I'll go ahead with it.
Ses04F_script01_1_M020,Then it isn't just my business.
Ses04F_script01_1_F021,I'm just saying.
Ses04F_script01_1_M021,Sometimes you infuriate me. You know that? Isn't it your business too if I tell this to father and he throws a fit about it.
Ses04F_script01_1_M022,Sometimes you have a- Sometimes you have a talent for ignoring things.
Ses04F_script01_1_F022,I ignore what I got to ignore. The girl is Larry's girl.
Ses04F_script01_1_M023,She's not Larry's girl.
Ses04F_script01_1_F023,"From father's point of view, he's not dead and you have no right to take his girl."
Ses04F_script01_1_F024,"Now you can go on from there and you know where to go, but I'm telling you I don't know where to go. See I don't know. Now what can I do for you?"
Ses04F_script01_1_M024,"I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer. My whole bloody life time after time after time."
Ses04F_script01_1_F025,You're a considerate fellow. There's nothing wrong in that.
Ses04F_script01_1_M025,To hell with that.
Ses04F_script01_1_M026,I wanted to get this settled first.
Ses04F_script01_1_F027,How do you know she'll marry you? Maybe she feels the same way father does.
Ses04F_script01_1_M027,"Well if she does, then that's the end of it. From her letters, I think she's forgotten him. I'll find out."
Ses04F_script01_1_M028,"and then we'll thrash it out with dad, right mom. Don't avoid me."
Ses04F_script01_1_F028,The trouble is you don't see enough women. You never did.
Ses04F_script01_1_M029,So what I'm not fast with women.
Ses04F_script01_1_F029,I don't see why it has to be Annie.
Ses04F_script01_1_M030,Because it is.
Ses04F_script01_1_F030,Well that's a good answer but it don't answer anything. You haven't seen her since you went to war. It's been five years.
Ses04F_script01_1_M032,"These years when I think of someone for my wife, I think of Annie. What do you want, a diagram?"
Ses04F_script01_1_F031,"I don't want a diagram. He thinks he's coming back, Chris."
Ses04F_script01_1_F032,You marry that girl. You're pronouncing him dead. Now what happens to your father? Do you know because I don't?
Ses04F_script01_1_M034,"I've given it three years of thought. I hoped that if I waited, dad would forget about Larry"
Ses04F_script01_1_M035,"and everything would be happy and we would have a regular wedding. But if that can't happen here, then I'll have to get out."
Ses04F_script01_1_F035,Are you crazy?
Ses04F_script01_1_F036,You've got a business here. What the hell is this?
Ses04F_script01_1_M038,"The business, the business doesn't inspire me."
Ses04F_script01_1_F037,Must you be inspired?
Ses04F_script01_1_M039,"Yes, I like it an hour a day. If I have to grub for money all day long, at least at evening I want it beautiful."
Ses04F_script01_1_M040,I want- I want a family. I want some kids. I want to build something I give myself to. Annie is in the middle of that. Now where do I find it?
Ses04F_script01_1_F038,You mean-tell me something you mean you'd really leave the business?
Ses04F_script01_1_M042,Then you help me stay here.
Ses04F_script01_1_F040,Alright but don't think that way
Ses04F_script01_1_F041,"because what the hell did we work for? This whole shooting match is just for you, Chris."
Ses04F_script01_1_M043,I know. Just you help me stay here.
Ses04F_script01_1_F042,But don't think that way. You hear me?
Ses04F_script01_1_F044,Yeah. I can see that.
Ses04F_script01_2_F000,Why did he invite her?
Ses04F_script01_2_M000,Why does that bother you?
Ses04F_script01_2_F001,It's been three years. Why all of a sudden?
Ses04F_script01_2_M001,Well maybe- maybe he just wanted to see her again.
Ses04F_script01_2_F002,Nobody comes seven hundred miles just to see.
Ses04F_script01_2_M004,How do you know he's even thinking about it?
Ses04F_script01_2_F005,"What's going on here, Joe?"
Ses04F_script01_2_M006,Listen kid.
Ses04F_script01_2_F006,"No, line."
Ses04F_script01_2_M007,"Uh, Then why is she still-she's not his girl, Joe"
Ses04F_script01_2_F007,"She's not his girl, Joe. She knows she's not."
Ses04F_script01_2_M008,You can't read her mind.
Ses04F_script01_2_F008,Then why is she still single? New York is full of men. Why hasn't she married?
Ses04F_script01_2_F009,Probably a hundred people told her she's foolish but she's waited.
Ses04F_script01_2_M009,How do you know why she waited?
Ses04F_script01_2_F010,Because she knows what I know that's why. She's faithful as a rock.
Ses04F_script01_2_F011,"In my worst moments, I think of her waiting and I know again that I'm right."
Ses04F_script01_2_M010,Look it's a nice day. What are we arguing for?
Ses04F_script01_2_F012,"Nobody in this house dares take her faith away, Joe. Strangers might but not his father, not his brother."
Ses04F_script01_2_M011,What do you want me to do?
Ses04F_script01_2_M012,But Kate-
Ses04F_script01_2_F014,"Because if he's not coming back, I'll kill myself."
Ses04F_script01_2_F016,"She goes to sleep in his room and his memorial breaks in pieces. Look, look at it. Joe-"
Ses04F_script01_2_M013,Calm yourself.
Ses04F_script01_2_F017,"Believe with me, Joe. I can't stand alone."
Ses04F_script01_2_M014,Calm yourself.
Ses04F_script01_2_F018,Just last week a man showed up in Detroit missing longer than Larry. You read it yourself.
Ses04F_script01_2_M015,Alright. Alright. Calm yourself.
Ses04F_script01_2_F019,You above all have got to believe. You.
Ses04F_script01_2_M016,Why me above all?
Ses04F_script01_2_F020,Just don't stop believing.
Ses04F_script01_2_M017,"What does that mean, me above all? Look at you. You're shaking."
Ses04F_script01_2_F021,I can't help it.
Ses04F_script01_2_M018,What have I got to hide? What the hell is matter with you Kate?
Ses04F_script01_3_M004,What?
Ses04F_script01_3_M008,I guess you know this is why I asked you to come.
Ses04F_script01_3_F009,I guess this is why I came.
Ses04F_script01_3_M009,"Ann, I love you. I love you a great deal. I love you."
Ses04F_script01_3_M010,I have no imagination that's all I know to tell you.
Ses04F_script01_3_M011,I'm embarrassing you. I didn't want to tell it to you here. I
Ses04F_script01_3_F010,"Chris, I've been ready a long, long time."
Ses04F_script01_3_M014,And he's gone forever. You're sure?
Ses04F_script01_3_F012,You started to write me.
Ses04F_script01_3_F013,Every day since.
Ses04F_script01_3_F014,"I was waiting for you, Chris. Till then you never wrote and then when you did what did you say. I mean you sure can be ambiguous you know."
Ses04F_script01_3_M018,"Give me a kiss, Ann. Give me a-God I kissed you."
Ses04F_script01_3_M019,"I kissed Annie. How long, how long I've been waiting to kiss you."
Ses04F_script01_3_F015,I'll never forgive you. Why did you wait all these years? All I've done is sit and wonder if I was crazy for thinking of you.
Ses04F_script01_3_M020,"Annie, we're going to live now. I'm going to make you so happy."
Ses04F_script01_3_M023,"No, nothing like that."
Ses04F_script01_3_M024,Yes. I suppose I have been but it's going from me.
Ses04F_script01_3_M025,I don't know where to start.
Ses04F_script01_3_M026,There's so many things mixed up.
Ses04F_script01_3_M027,You remember overseas I was in command of a company?
Ses04F_script01_3_F023,"Yeah, sure."
Ses04F_script01_3_M028,Well I lost them.
Ses04F_script01_3_F024,How many?
Ses04F_script01_3_M029,Just about all.
Ses04F_script01_3_M030,It takes a lot of time to toss that off because they weren't just men.
Ses04F_script01_3_M031,"For instance, one time it had been raining several days and this kid came to me and gave me his last pair of dry socks."
Ses04F_script01_3_M032,I put them in my pocket. that's only a little thing but these are the kind of guys I had.
Ses04F_script01_3_M033,They didn't die. They killed themselves for each other. I mean that exactly. A little more selfish and they'd have been here today.
Ses04F_script01_3_M034,"And I got this idea watching them go down. Everything was being destroyed see, but it seemed to me that there was one new thing that was made"
Ses04F_script01_3_M035,a sort of responsibility man for man. You understand me?
Ses04F_script01_3_M036,And then I came home and it was amazing.
Ses04F_script01_3_M039,"I felt, what you said, ashamed somehow"
Ses04F_script01_3_M040,because nobody was changed at all. It seemed to make suckers out of a lot of guys.
Ses04F_script01_3_M041,"I felt wrong to be alive, to open the new bank book, to drive the new car, to see the new refrigerator."
Ses04F_script01_3_M043,"when you drive the new car, you have to know that it came out of the love a man can have for a man. You've got to be a little better because of that."
Ses04F_script01_3_M044,Otherwise what you have is really just loot and there's blood on it. I didn't want to take any of it.
Ses04F_script01_3_M045,I guess that included you.
Ses04F_script01_3_M047,"Annie, Annie I'm going to make a fortune for you."
Ses04F_script01_3_F030,What'll I do with a fortune?
Ses04F_script02_1_M000,What time is it? They're supposed to run around midnight. This is great isn't it? Look at this night we've got here. It couldn't be better.
Ses04F_script02_1_F000,Fine.
Ses04F_script02_1_M002,"Is that, is that-that's just foam isn't it? I can't even tell"
Ses04F_script02_1_M004,"Oh, no you know what I did? I forgot my flashlight. How could I be so stupid I forgot my flashlight."
Ses04F_script02_1_M005,"The flashlight, the silver one. There's only one isn't there?"
Ses04F_script02_1_F002,It's not yours.
Ses04F_script02_1_M007,Well sure.
Ses04F_script02_1_M008,"No of course our flashlight, yours and mine, mi flashlight es su flashlight naturally. How could we not think to bring it?"
Ses04F_script02_1_M009,I hope the moon stays out. I wonder do they always run during a full moon. I can't remember if it was full last year. Remember?
Ses04F_script02_1_M010,"Are you cold? Do you want my jacket? We should have brought the blanket, our blanket."
Ses04F_script02_1_M011,"Ah, this is great, isn't it? I didn't even think to bring a six-pack. A six-pack would be just the ticket right about now."
